"","word","block","id","cond","order","word_duration","vot","KF","vot_per","word_id"
"1231","pall","b","18","g1",0,387.668801,65.460023,42,16.885553552709,"pall18"
"1271","pall","a","19","g1",0,426.944816,50.913351,42,11.9250425563195,"pall19"
"1311","pall","b","19","g1",0,434.218152,86.552697,42,19.9329983330591,"pall19"
"1351","pall","a","20","g1",0,458.78533,92.196095,42,20.0956937746898,"pall20"
"1391","pall","b","20","g1",0,485.675858,109.757256,42,22.598870047191,"pall20"
"1431","pall","a","21","g2",0,333.118783,61.096021,42,18.3406112527735,"pall21"
"1471","pall","b","21","g2",0,365.848793,93.826032,42,25.6461231512113,"pall21"
"1511","pall","a","22","g2",0,393.487471,82.916029,42,21.0720887222353,"pall22"
"1551","pall","b","22","g2",0,394.942138,66.187357,42,16.7587478346005,"pall22"
"1591","pall","a","23","g2",0,399.516411,47.19562,42,11.8131868180003,"pall23"
"1631","pall","b","23","g2",0,468.875736,90.00095,42,19.195053846847,"pall23"
"1671","pall","a","24","g2",0,484.029498,139.391715,42,28.7981859733681,"pall24"
"1711","pall","b","24","g2",0,547.545658,122.874419,42,22.4409448243675,"pall24"
"1751","pall","a","25","g2",0,376.636355,93.293668,42,24.7702237878762,"pall25"
"1787","pall","b","25","g2",0,363.296517,82.317942,42,22.6586102943563,"pall25"
"1827","pall","a","26","g2",0,364.394087,83.415514,42,22.8915662948175,"pall26"
"1867","pall","b","26","g2",0,321.588759,62.012849,42,19.2832763162596,"pall26"
"1907","pall","a","27","g2",0,437.382665,82.317942,42,18.8205771712512,"pall27"
"1947","pall","b","27","g2",0,430.248444,97.683958,42,22.7040816445114,"pall27"
"1986","pall","a","28","g2",0,408.296992,65.854354,42,16.1290323686734,"pall28"
"2026","pall","b","28","g2",0,435.736304,74.634934,42,17.1284635489082,"pall28"
"2066","pall","a","29","g2",0,329.271767,78.476438,42,23.8333333935673,"pall29"
"2106","pall","b","29","g2",0,334.210844,72.988575,42,21.8390804219387,"pall29"
"2145","pall","a","30","g2",0,362.198945,81.494763,42,22.5000001035343,"pall30"
"2183","pall","b","30","g2",0,352.869577,90.00095,42,25.5054433326793,"pall30"
"2223","pall","a","31","g1",0,371.528307,73.537361,42,19.7932054205496,"pall31"
"2263","pall","b","31","g1",0,388.540684,80.122796,42,20.6214688189513,"pall31"
"2303","pall","a","32","g1",0,363.296517,79.57401,42,21.9033231193901,"pall32"
"2343","pall","b","32","g1",0,334.210843,77.378865,42,23.1527093212832,"pall32"
"2383","pall","a","33","g1",0,542.200845,75.732507,42,13.9676113931545,"pall33"
"2423","pall","b","33","g1",0,443.419314,88.903377,42,20.0495048801596,"pall33"
"2463","pall","a","34","g1",0,429.150871,116.342691,42,27.109974338139,"pall34"
"2503","pall","b","34","g1",0,345.735355,77.927651,42,22.5396824111321,"pall34"
"2543","pall","a","35","g1",0,293.60066,65.305567,42,22.2429905300622,"pall35"
"2583","pall","b","35","g1",0,315.003322,64.75678,42,20.5574911365538,"pall35"
"2623","pall","a","36","g1",0,410.492137,60.366491,42,14.7058824174262,"pall36"
"2663","pall","b","36","g1",0,381.955247,92.196094,42,24.1379310073989,"pall36"
"2703","pall","a","37","g2",0,514.487137,92.196095,42,17.9200000096407,"pall37"
"2742","pall","b","37","g2",0,481.708655,65.854353,42,13.6709922722896,"pall37"
"2781","pall","a","38","g2",0,319.942401,64.756781,42,20.2401372239499,"pall38"
"2821","pall","b","38","g2",0,398.418837,88.903377,42,22.3140496241145,"pall38"
"2861","pall","a","39","g2",0,261.16115,36.768681,42,14.0789244495209,"pall39"
"2901","pall","b","39","g2",0,339.149921,50.488338,42,14.8867314641067,"pall39"
"2941","pall","a","40","g2",0,455.492612,63.659208,42,13.9759035213506,"pall40"
"2981","pall","b","40","g2",0,492.810074,91.098521,42,18.4855232890389,"pall40"
"3021","pall","a","41","g2",0,588.298887,121.830553,42,20.7089552083412,"pall41"
"3061","pall","b","41","g2",0,468.663482,81.220369,42,17.330210720365,"pall41"
"3101","pall","a","42","g2",0,446.712029,75.732506,42,16.9533169208658,"pall42"
"3141","pall","b","42","g2",0,302.930026,79.025224,42,26.0869564643288,"pall42"
"3180","pall","a","43","g1",0,526.834828,115.245119,42,21.8750000711798,"pall43"
"3220","pall","b","43","g1",0,451.102322,79.025224,42,17.5182481104586,"pall43"
"3260","pall","a","44","g2",0,557.566855,142.684431,42,25.5905511097857,"pall44"
"3300","pall","b","44","g2",0,424.110885,83.415515,42,19.6683268339128,"pall44"
"3340","pall","a","45","g1",0,429.150868,82.317941,42,19.181585577033,"pall45"
"3380","pall","b","45","g1",0,433.54116,91.098522,42,21.012658175293,"pall45"
"3420","pall","a","46","g2",0,312.026107,53.822685,42,17.2494172098234,"pall46"
